profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,-2.6903966414462386,-0.005973245582659704,-0.7710002869704876,-0.7650270413878281,0.8004718842034219,0.7650270413878281,0.0,-0.7650270413878281,0.8004718842034219,0.7650270413878281,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,-1.0560019672333263,-0.08240932827813148,-0.2580740391952255,-0.17566471091709399,0.21024948351543996,0.17566471091709399,0.0,-0.17566471091709399,0.21024948351543996,0.17566471091709399,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,-0.38819992323075647,-0.15727162171829173,-0.3241921198265005,-0.16692049810820872,0.1757064416832401,0.16692049810820872,0.0,-0.16692049810820872,0.1757064416832401,0.16692049810820872,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,0.10805498357519228,-0.20491451462908647,-0.4312417341036109,-0.22632721947452442,0.23361513125156463,0.22632721947452442,0.0,-0.22632721947452442,0.23361513125156463,0.22632721947452442,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,0.5488852415421697,-0.24043207668645827,-0.47230955188762097,-0.23187747520116272,0.2396135177766713,0.23187747520116272,0.0,-0.23187747520116272,0.2396135177766713,0.23187747520116272,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,0.9803909641425683,-0.25184204878746697,-0.4734277706237278,-0.22158572183626088,0.23019681143883494,0.22158572183626088,0.0,-0.22158572183626088,0.23019681143883494,0.22158572183626088,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,1.4233415609764641,-0.24239931325559766,-0.3963534810974091,-0.15395416784181143,0.16731903223458747,0.15395416784181143,0.0,-0.15395416784181143,0.16731903223458747,0.15395416784181143,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,1.9537858635293346,-0.2030188139351884,-0.27730615527256286,-0.07428734133737444,0.09127543931327611,0.07984856927257565,0.0,-0.07428734133737444,0.09127543931327611,0.07984856927257565,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,2.6538047968629783,-0.13706273696258675,-0.13302672163613738,0.004036015326449368,0.053702764521188585,0.042140891622964825,0.0,0.004036015326449368,0.053702764521188585,0.042140891622964825,0.0
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,4.564163102251663,-0.015308677301666851,-0.6002932143299785,-0.5849845370283117,0.6270509996841181,0.5863794997368693,0.0,-0.5849845370283117,0.6270509996841181,0.5863794997368693,0.0
