y,true_dlate,cdf_y1_complier,cdf_y0_complier
-2.6903966414462386,-0.005973245582659704,0.0007153587524143358,0.00668860433507404
-1.0560019672333263,-0.08240932827813148,0.02886472565991845,0.11127405393804993
-0.38819992323075647,-0.15727162171829173,0.08162243365047571,0.23889405536876743
0.10805498357519228,-0.20491451462908647,0.15652049502825668,0.36143500965734315
0.5488852415421697,-0.24043207668645827,0.24962443665498246,0.49005651334144074
0.9803909641425683,-0.25184204878746697,0.3598254524644109,0.6116675012518779
1.4233415609764641,-0.24239931325559766,0.48601473639029974,0.7284140496458974
1.9537858635293346,-0.2030188139351884,0.6335574790757565,0.8365762930109449
2.6538047968629783,-0.13706273696258675,0.7944058945561199,0.9314686315187066
4.564163102251663,-0.015308677301666851,0.9817225838758137,0.9970312611774805
