profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,-1.9995391609771775,-0.004812216038927872,-0.08779245039861137,-0.0829802343596835,0.17338818606007284,0.08885084544015981,0.0,-0.0829802343596835,0.17338818606007284,0.08885084544015981,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,-0.898916145565559,-0.0711616528214641,-0.22642225789361262,-0.15526060507214853,0.18905591938295677,0.15684517834899733,0.0,-0.15526060507214853,0.18905591938295677,0.15684517834899733,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,-0.4793254730652832,-0.13570986907546306,-0.27654565188863667,-0.14083578281317355,0.156133536270331,0.14166595566317328,0.0,-0.14083578281317355,0.156133536270331,0.14166595566317328,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,-0.15887133568485334,-0.18469231389628193,-0.36413589052329376,-0.17944357662701182,0.1955158897403696,0.17944357662701182,0.0,-0.17944357662701182,0.1955158897403696,0.17944357662701182,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,0.12292434118275394,-0.22187273167190902,-0.4157803139182916,-0.1939075822463826,0.20555465258308575,0.1939075822463826,0.0,-0.1939075822463826,0.20555465258308575,0.1939075822463826,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,0.4084474162550569,-0.23934725918756888,-0.4305815503829324,-0.1912342911953635,0.20006623761871803,0.1912342911953635,0.0,-0.1912342911953635,0.20006623761871803,0.1912342911953635,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,0.7087180736239561,-0.2314702798612791,-0.39557761455376483,-0.16410733469248573,0.17380653332817217,0.16410733469248573,0.0,-0.16410733469248573,0.17380653332817217,0.16410733469248573,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,1.0608151197724207,-0.20117213753797347,-0.31438866398867965,-0.11321652645070618,0.12420485876618326,0.11410868197793404,0.0,-0.11321652645070618,0.12420485876618326,0.11410868197793404,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,1.5423484096588358,-0.13277952523052938,-0.6032700605202869,-0.4704905352897575,0.530703311467098,0.4718963598242666,0.0,-0.4704905352897575,0.530703311467098,0.4718963598242666,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,2.7774734566814545,-0.01392585423555659,-0.21926056249113887,-0.20533470825558225,0.3019905040589404,0.20856229381645353,0.0,-0.20533470825558225,0.3019905040589404,0.20856229381645353,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,-1.9995391609771775,-0.004812216038927872,-0.1141723855738106,-0.10936016953488271,0.1813576125238435,0.13455373207882673,0.0,-0.10936016953488271,0.1813576125238435,0.13455373207882673,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,-0.898916145565559,-0.0711616528214641,-1.2811613584425623,-1.2099997056210983,1.341914783425621,1.2099997056210983,0.0,-1.2099997056210983,1.341914783425621,1.2099997056210983,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,-0.4793254730652832,-0.13570986907546306,-1.9694589969967193,-1.8337491279212563,2.026391994771528,1.8337491279212563,0.0,-1.8337491279212563,2.026391994771528,1.8337491279212563,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,-0.15887133568485334,-0.18469231389628193,-2.45785509979933,-2.273162785903048,2.5139509569055614,2.273162785903048,0.0,-2.273162785903048,2.5139509569055614,2.273162785903048,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,0.12292434118275394,-0.22187273167190902,-2.7680996322066216,-2.5462269005347125,2.828005362028673,2.5462269005347125,0.0,-2.5462269005347125,2.828005362028673,2.5462269005347125,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,0.4084474162550569,-0.23934725918756888,-2.880396834488191,-2.641049575300623,2.818263698768204,2.641049575300623,0.0,-2.641049575300623,2.818263698768204,2.641049575300623,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,0.7087180736239561,-0.2314702798612791,-2.8941710311762985,-2.662700751315019,2.8172752515298516,2.662700751315019,0.0,-2.662700751315019,2.8172752515298516,2.662700751315019,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,1.0608151197724207,-0.20117213753797347,-2.56412929818299,-2.362957160645016,2.490057242140815,2.362957160645016,0.0,-2.362957160645016,2.490057242140815,2.362957160645016,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,1.5423484096588358,-0.13277952523052938,-1.8532712743257838,-1.7204917490952545,1.835497051421378,1.7204917490952545,0.0,-1.7204917490952545,1.835497051421378,1.7204917490952545,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,rf,2.7774734566814545,-0.01392585423555659,-0.24994040252476457,-0.23601454828920798,0.2761976987833389,0.23601454828920798,0.0,-0.23601454828920798,0.2761976987833389,0.23601454828920798,0.0
