y,kan_avg_bias,kan_rmse,rf_avg_bias,rf_rmse
-2.0006430525363985,-2.6160160459716533,2.7145515497335,-0.321142145156767,0.43804389839575264
-0.9063582162994132,-0.4629363328331933,0.4833186597673356,-4.871969781769958,7.339563703902926
-0.48558776501888196,-0.6547261045259748,0.66997331657242,-8.101412701038948,11.786984412748529
-0.16857695098965694,-0.8138980319308287,0.8336202042435786,-10.38026355414057,14.996954416041763
0.11210776459912555,-0.9563231076104648,0.9716026920508655,-12.24921181021228,17.637062510127503
0.3938393823143246,-0.9099905767636595,0.9259801415572483,-13.343698415232812,19.71611267061407
0.6923047993838453,-0.7460123331479825,0.7582702502494985,-12.873640857288452,18.930416126900866
1.0392662699723887,-0.48744279027853493,0.5027171443491936,-10.387105086739721,14.395953565757186
1.5210231058453096,-0.24932640068611372,0.2751703482919677,-6.907146278680719,9.222360971910486
2.7687217436325167,-2.7092306299144036,2.738259373946946,-0.7971187797504317,1.2087901467423199
