y,true_dlate,cdf_y1_complier,cdf_y0_complier
-2.66665688989749,-0.0082355261860144,0.0012082059374691784,0.009443732123483579
-1.0186219743221396,-0.10057697997830162,0.04223789328336128,0.1428148732616629
-0.3532883086576586,-0.17583094979781044,0.10804813097938652,0.283879080777197
0.14009464382231304,-0.21964690797909067,0.19348555084327843,0.4131324588223691
0.5775807080936514,-0.24479731728967358,0.2945803333662097,0.5393776506558833
1.0098632379892445,-0.24713975737252192,0.4091133247854818,0.6562530821580037
1.445545691520932,-0.23027418877601347,0.5329667620080876,0.763240950784101
1.9746800583424389,-0.18924450143012128,0.6732665943386922,0.8625110957688135
2.6735094790472362,-0.12163428345990734,0.8216046947430713,0.9432389782029786
4.575803002445498,-0.012895749087681208,0.9844412663970806,0.9973370154847618
