y,kan_avg_bias,kan_rmse,rf_avg_bias,rf_rmse
-2.0667669459602354,-0.7935688417110182,0.8864383469043869,-0.3223914689520065,0.3903239896266289
-0.7453650623208662,-0.22082046454918267,0.22865990603143652,-2.3999368719228586,2.6463590489823976
-0.21252911359652862,-0.21909760192455374,0.2318591017680168,-3.6608738936601184,3.969067927814853
0.185831221986921,-0.26263961860686,0.2748112339768507,-4.5417776263551515,4.874158567791416
0.5337430563979983,-0.28856347834880863,0.2966253240724233,-4.94366898432936,5.3357757495999065
0.8765808251914154,-0.26039276193605787,0.270800517296986,-5.145232508523781,5.594424006904236
1.24274002020416,-0.151684505965475,0.16859696585802783,-4.766556950632803,5.146737415912732
1.6637435004220442,-0.05066615762284001,0.08328885267051767,-4.016659150251208,4.324438730028991
2.232969587520531,0.027911528334313148,0.07760604353902972,-2.8282717894309375,3.0400578437362165
3.784871434349972,-0.6734461509024176,0.7412015105065544,-0.41882926117297425,0.487735734119555
