y,kan_avg_bias,kan_rmse,rf_avg_bias,rf_rmse
-1.9995391609771775,-0.5896116974443156,0.6127072271748797,-0.16314585282372815,0.21010234258091492
-0.898916145565559,-0.10132648486541626,0.10411900254037268,-1.599856426945691,1.6457593361695553
-0.4793254730652832,-0.1414951206461803,0.1452790640289734,-2.7029813753552308,2.763087933305665
-0.15887133568485334,-0.19811154986065269,0.2012254506615138,-3.5393422368900844,3.60630231339136
0.12292434118275394,-0.2197685674131979,0.22221731524307675,-3.9993658464421196,4.070904156519365
0.4084474162550569,-0.21315834367244174,0.2153866327575901,-4.232935394647093,4.321775186610994
0.7087180736239561,-0.1763657922236192,0.17966966203525764,-4.158013166852626,4.2268742483140365
1.0608151197724207,-0.12046556494212596,0.12355379022095035,-3.5575484147320484,3.615245094923536
1.5423484096588358,-0.051943268362910765,0.05756207075208909,-2.4376255729818705,2.4866992643069548
2.7774734566814545,-0.6291282221142077,0.6296656833367579,-0.3566869347727037,0.37217678480338645
