profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,scenario_signed_bias,scenario_mean_abs_error,scenario_integrated_rmse,scenario_nan_rate,replications,mean_sample_first_stage,min_sample_first_stage,weak_first_stage_share,mean_true_complier_share,mean_true_first_stage,mean_abs_psi_beta,near_zero_denominator_share,fragile_denominator_share,mean_runtime_sec,median_runtime_sec,total_runtime_sec,mean_pi_clip_rate,mean_p_clip_rate,mean_pi_fallback_rate,mean_p_fallback_rate,mean_mu_fallback_rate,mean_mu_w1_fallback_rate,mean_mu_w0_fallback_rate
full,smooth_low__medium__n1000__nsim50,smooth_low__medium__nsim50__n1000__y10__seed20264420__full,smooth_low,medium,1000,50,10,3,25,50000,1729,20264420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.3718196914240462,0.37193538397160425,0.4736449516608049,0.0,50,0.4633366688648657,0.3942141571565433,0.0,0.43948,0.43948,0.4381615806721774,0.0,0.0,4.857123660519719,4.863229591501295,242.85618302598596,0.0,0.0,0.0,0.0,0.035333333333333335,0.11466666666666667,0.14533333333333334
full,smooth_low__medium__n1000__nsim50,smooth_low__medium__nsim50__n1000__y10__seed20264420__full,smooth_low,medium,1000,50,10,3,25,50000,1729,20264420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-2.9961979488475614,2.998756858225392,3.691679230551341,0.0,50,0.4633366688648657,0.3942141571565433,0.0,0.43948,0.43948,0.061117136016598156,0.0,0.0,7.320268017139533,7.319640828000047,366.01340085697666,0.0,0.00034,0.0,0.0,0.0,0.026000000000000002,0.08666666666666668
