y,true_dlate,cdf_y1_complier,cdf_y0_complier
-2.000708388911919,-0.0045452479432753065,0.004454342984409799,0.008999590927685106
-0.9041889611898076,-0.06645152493068496,0.06436071087677833,0.1308122358074633
-0.4838535655361972,-0.13231216762874418,0.13185764283441662,0.2641698104631608
-0.16358991891107888,-0.1811735830189537,0.2132175810190446,0.3943911640379983
0.11994455632176454,-0.2206263351665833,0.30775873823917094,0.5283850734057542
0.40137448616741256,-0.2429889550474978,0.41166310622244445,0.6546520612699422
0.6987648794218947,-0.2402618062815327,0.5284759783646198,0.7687377846461525
1.046973649684029,-0.20989955002045368,0.6623789827735103,0.872278532793964
1.5280188494621063,-0.14090268624153457,0.8128266896959229,0.9537293759374574
2.767370436646296,-0.015999272760329086,0.9832280350893141,0.9992273078496432
