y,kan_avg_bias,kan_rmse,rf_avg_bias,rf_rmse
-2.000708388911919,-0.714921699131028,0.8272758875306611,-0.18898886008314128,0.26636952632290334
-0.9041889611898076,-0.16365580920305578,0.17210518857308277,-1.6501331238375594,1.8045958173792869
-0.4838535655361972,-0.25479902171087865,0.264294526408158,-2.956640626475095,3.1548527908743713
-0.16358991891107888,-0.3368183604457937,0.34503819853428846,-4.057292430076825,4.38875368428179
0.11994455632176454,-0.36248295421031657,0.3707819509629386,-4.460095359006933,4.831053382681384
0.40137448616741256,-0.3362308815860876,0.3439067204500124,-4.6475303677974855,5.008595577451885
0.6987648794218947,-0.2813174525842145,0.2888763528073954,-4.646828795060682,5.054811176892089
1.046973649684029,-0.20471339688673043,0.216753290184904,-4.122598071706085,4.4742312825852375
1.5280188494621063,-0.1730346505041792,0.26007062267829884,-2.830524229236729,3.089250292620021
2.767370436646296,-0.8902226879781773,0.9416302378582663,-0.40134762519507483,0.4524888633569559
