y_value,dlate_estimate
-23452.68,-0.34951982726489483
-15060.465517241377,-0.5733509690826566
-6668.251034482753,-0.9952134627279494
1723.9634482758702,0.4522923839534602
10116.177931034494,0.7500118730687902
18508.392413793117,0.8900584370239755
26900.60689655174,0.8363059549896124
35292.821379310364,0.8919947447150336
43685.03586206899,0.8615674418418577
52077.25034482762,0.8552405198609729
60469.464827586235,0.8541662304046898
68861.67931034486,0.7965881318281585
77253.89379310349,0.8020391811440294
85646.10827586212,0.7450746219602999
94038.32275862072,0.8058076135459513
102430.53724137935,0.8043095598178819
110822.75172413798,0.7450509354925465
119214.96620689661,0.7283611392927036
127607.18068965524,0.6557839670545647
135999.39517241385,0.5772088769196994
144391.60965517248,0.6174456722787497
152783.8241379311,0.5645432363332454
161176.0386206897,0.5538630474884179
169568.25310344834,0.4602702991698068
177960.46758620697,0.4484002685746021
186352.6820689656,0.42058481879582515
194744.89655172423,0.40751914445046156
203137.11103448283,0.36305087063747654
211529.32551724146,0.3700348363636028
219921.5400000001,0.3869313357022119
