y,true_dlate,cdf_y1_complier,cdf_y0_complier
-2.0861216382228847,-0.010181970080672533,0.003367882411299376,0.013549852491971909
-0.7360225906910121,-0.10260292927446937,0.06096128240607785,0.16356421168054722
-0.20890163998249225,-0.17225804767250608,0.13521134114821293,0.307469388820719
0.19296759624333934,-0.21810302065112394,0.22259353053285644,0.4406965511839804
0.5475588032229506,-0.24663864449259848,0.31960943007075165,0.5662480745633501
0.8993070004632052,-0.252747826541002,0.4288436937054539,0.6815915202464559
1.2708699010455702,-0.23157455029632146,0.552071639297183,0.7836461895935044
1.6946194253910267,-0.1953110722397723,0.6814609821684986,0.8767720544082709
2.260192739848693,-0.127848993551419,0.8228337205962979,0.9506827141477169
3.820754546067931,-0.013314883951648704,0.9848314753413571,0.9981463592930058
