profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,scenario_signed_bias,scenario_mean_abs_error,scenario_integrated_rmse,scenario_nan_rate,replications,mean_sample_first_stage,min_sample_first_stage,weak_first_stage_share,mean_true_complier_share,mean_true_first_stage,mean_abs_psi_beta,near_zero_denominator_share,fragile_denominator_share,mean_runtime_sec,median_runtime_sec,total_runtime_sec,mean_pi_clip_rate,mean_p_clip_rate,mean_pi_fallback_rate,mean_p_fallback_rate,mean_mu_fallback_rate,mean_mu_w1_fallback_rate,mean_mu_w0_fallback_rate
full,complex_local__strong__n500__nsim50,complex_local__strong__nsim50__n500__y10__seed20284420__full,complex_local,strong,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20284420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.13039819860552393,0.1366861082222227,0.18159878284689532,0.0,50,0.7590026210293446,0.7103030303030303,0.0,0.7658800000000001,0.7658800000000001,0.7388492243214106,0.0,0.0,4.754817245799932,4.775708511999255,237.74086228999658,0.0,0.0,0.0,0.0,0.16133333333333333,0.18466666666666667,0.21866666666666668
full,complex_local__strong__n500__nsim50,complex_local__strong__nsim50__n500__y10__seed20284420__full,complex_local,strong,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20284420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-1.9746311292623113,1.97581330002105,2.3061088686495372,0.0,50,0.7590026210293446,0.7103030303030303,0.0,0.7658800000000001,0.7658800000000001,0.11510674116596563,0.0,0.0,6.353034840780019,6.376970480996533,317.65174203900096,0.0,0.00456,0.0,0.0,0.01,0.06733333333333333,0.09066666666666666
