y,true_dlate,cdf_y1_complier,cdf_y0_complier
-2.0006430525363985,-0.005003950487226759,0.0032920726889649724,0.008296023176191731
-0.9063582162994132,-0.060969186199631285,0.0591256254938109,0.12009481169344219
-0.48558776501888196,-0.12562549381090335,0.12009481169344219,0.24572030550434554
-0.16857695098965694,-0.17500658414537795,0.19489070318672636,0.3698972873321043
0.11210776459912555,-0.2167500658414538,0.2858835923097182,0.502633658151172
0.3938393823143246,-0.24716881748749014,0.38701606531472216,0.6341848828022123
0.6923047993838453,-0.2473005003950487,0.5061890966552541,0.7534895970503028
1.0392662699723887,-0.22214906505135634,0.6401106136423492,0.8622596786937056
1.5210231058453096,-0.15064524624703712,0.7994469317882539,0.950092178035291
2.7687217436325167,-0.017777192520410767,0.981301027126679,0.9990782196470898
