y,kan_avg_bias,kan_rmse,rf_avg_bias,rf_rmse
-2.6903966414462386,-0.23414009036435446,0.38242001784436047,-0.1480522405908932,0.2495551515082588
-1.0560019672333263,-0.5965655809319905,0.6793975194804174,-1.6187180053607877,1.824146859174413
-0.38819992323075647,-0.17963042172926194,0.19499053972653665,-2.5020843134908186,2.9123702706987826
0.10805498357519228,-0.22143070728052103,0.23759898365404275,-3.13388730737807,3.6755218242799397
0.5488852415421697,-0.23509400398822017,0.2489759869544151,-3.4428140274869192,4.075711945788032
0.9803909641425683,-0.22671653495177893,0.23899054617657003,-3.645035730918194,4.3973926683499345
1.4233415609764641,-0.16032331260162289,0.1773923789715013,-3.3151255859758866,3.763311191172635
1.9537858635293346,-0.07552418481744036,0.09717017891537366,-2.782390784911543,3.263702795570475
2.6538047968629783,-0.1638217544079194,0.33879723152883207,-1.898646452178395,2.3316484282249608
4.564163102251663,-0.12050188881816844,0.24431830718102557,-0.21056195675213907,0.26335645716865214
