y_value,dlate_estimate
-23452.68,0.5669293550312059
-15060.465517241377,0.5534151456582628
-6668.251034482753,0.486861222074605
1723.9634482758702,-0.23036524385158857
10116.177931034494,-0.3162634327980608
18508.392413793117,-0.34293814334348655
26900.60689655174,-0.3391325138126008
35292.821379310364,-0.34624505820784346
43685.03586206899,-0.34025707336779754
52077.25034482762,-0.33219301240454535
60469.464827586235,-0.33583105384453515
68861.67931034486,-0.3308109123027824
77253.89379310349,-0.3255141452966226
85646.10827586212,-0.31779087694003394
94038.32275862072,-0.3245356977566215
102430.53724137935,-0.32130471181163045
110822.75172413798,-0.3207844407247783
119214.96620689661,-0.32167202007392687
127607.18068965524,-0.3185216601779723
135999.39517241385,-0.315611303646657
144391.60965517248,-0.3191747681515573
152783.8241379311,-0.31475831752955913
161176.0386206897,-0.31842243963441463
169568.25310344834,-0.31348335094022867
177960.46758620697,-0.3206275328706185
186352.6820689656,-0.31357528014847796
194744.89655172423,-0.31313716528215313
203137.11103448283,-0.31635131824125473
211529.32551724146,-0.31639269636352896
219921.5400000001,-0.31995009929399376
