y,true_dlate,cdf_y1_complier,cdf_y0_complier
-2.7169596927470874,-0.004349610176446451,0.00024620434961017645,0.004595814526056627
-1.093980738652733,-0.059089043906442346,0.01977841608535084,0.07886745999179319
-0.42733401141770105,-0.12860073861304883,0.057529749692244565,0.18613048830529338
0.07451108442672974,-0.17792367665162087,0.11842429216249487,0.29634796881411574
0.5135422112255108,-0.21821912187115308,0.19762002462043496,0.41583914649158804
0.9417277882098722,-0.24382437423061137,0.2975789905621666,0.541403364792778
1.3897198676984874,-0.2512925728354535,0.41879359868691013,0.6700861715223636
1.922830847759616,-0.22519491177677475,0.5701272055806319,0.7953221173574067
2.622633959246558,-0.16413623307345104,0.7467377923676651,0.9108740254411162
4.556139881777344,-0.019614279852277372,0.9763643824374231,0.9959786622897004
